Epoch;Correctness;AvgError;MinError;MaxError;ElapsedSeconds
0;15;2.3058662;0.6776666;6.166778;421.14456
1;35.8;2.2299879;0.89346606;3.7829885;784.51624
2;54.7;2.0177596;0.2719147;4.9964223;1217.1045
3;57.5;1.7698152;0.038882278;7.31773;1598.3105
4;57.1;1.5989119;0.010632153;7.591011;1995.1398
5;66.5;1.4771358;0.003192987;7.4557157;2367.4534
6;69.7;1.3493183;0.003177799;8.653556;2756.4204
7;68.2;1.2460886;0.0004523227;8.970961;3158.0645
8;72.5;1.183821;0.00043574529;10.593368;3579.1528
9;72.8;1.1226751;0.0006049317;10.8369665;4034.4434
10;73.1;1.0908731;0.00022372126;14.030004;4519.5073
11;74.7;1.0402519;1.5974172E-05;11.36925;4974.5737
12;80.3;1.0030118;0.00025841952;12.593691;5340.924
13;76.6;0.9832379;0.00010067732;13.917049;5741.5186
14;79.1;0.9551427;0.00015122842;10.29494;6121.1084
15;76.8;0.9405113;4.744642E-05;12.138646;6506.9375
16;78;0.9297989;2.9623947E-05;14.195591;6896.8345
17;77.2;0.90975195;4.917504E-05;12.016072;7309.9253
18;80.5;0.8998099;0.00010765178;14.168854;7720.1895
19;80.5;0.89123994;2.8193394E-05;13.033229;8120.2153
20;77.8;0.87340564;4.23798E-05;12.859895;8519.824
21;80.4;0.8699257;3.165057E-05;14.463882;8887.357
22;79.2;0.86066383;3.5048146E-05;11.665865;9275.483
23;78.1;0.86431664;5.0367194E-05;14.648219;9677.388
24;78.9;0.85354084;1.3947584E-05;13.225805;10068.576
