Epoch;Correctness;AvgError;MinError;MaxError;ElapsedSeconds
0;40.7;2.1365201;0.46993107;4.562305;512.1407
1;54.5;1.6115379;0.03142032;8.158219;1035.8304
2;50.7;1.4022506;0.012519801;10.0362;1556.3763
3;43.6;1.3017247;0.004271378;9.938165;2077.7642
4;65.1;1.18208;0.0044486984;11.110702;2612.9917
5;63.8;1.1247177;0.0036094282;10.816082;3161.1372
6;64.8;1.097117;0.003960275;10.755077;3700.6826
7;67.2;1.0748558;0.0033303462;11.71319;4219.2866
8;68.4;1.0541325;0.003172298;11.449654;4752.3096
9;68.3;1.0388861;0.0031355254;11.264269;5288.94
10;69;1.028419;0.0027502412;11.306321;5819.287
11;70.7;1.0248915;0.0025386224;11.184539;6361.46
