Epoch;Correctness;AvgError;MinError;MaxError;ElapsedSeconds
0;66.5;1.8295368;0.16809165;5.8140087;241.48894
1;71.4;1.1330789;0.010971913;7.656514;495.55746
2;75.2;0.9220018;0.0032336486;8.458103;749.8464
3;76.6;0.82971025;0.002007113;8.916565;1008.2993
4;80.3;0.7747854;0.0013575227;9.269153;1273.1992
5;76.8;0.7369152;0.00083875057;9.471326;1528.8385
6;79.4;0.7138237;0.0009166626;10.035566;1783.6786
7;82.9;0.7011157;0.00079484575;10.004884;2054.7866
8;79.2;0.6907001;0.0007322727;10.260252;2321.768
9;80.3;0.6848042;0.00084352295;10.105101;2585.795
