Epoch;Correctness;AvgError;MinError;MaxError;ElapsedSeconds
0;11.8;null;null;null;0
1;66.4;1.5307511;0.002566529;14.300884;444.01633
2;71.4;1.0729064;0.0006519893;14.651356;911.0945
3;75.1;0.9232287;6.962065E-05;16.069044;1400.3318
4;78.6;0.834366;0.00010270408;15.382631;1868.8768
5;80.1;0.77896595;7.385288E-05;14.955834;2351.68
6;81.5;0.7334299;6.0142895E-05;12.904226;2832.0435
7;80.4;0.7035044;3.7134385E-05;13.13653;3316.8628
8;79.3;0.68557465;4.1068444E-05;13.64918;3779.1658
9;81.3;0.6695438;4.4406446E-05;13.1990795;4254.599
10;82.3;0.65930736;3.8803377E-05;12.998088;4741.715
