Epoch;Correctness;AvgError;MinError;MaxError;ElapsedSeconds
0;51.6;2.098885;0.3688904;6.9491706;402.54343
1;61.2;1.5495194;0.10077219;5.6803513;818.8964
2;69.5;1.2056171;0.041394945;7.3524737;1280.3481
3;71.3;1.0704848;0.018097274;8.084475;1696.6378
4;72.4;0.97898966;0.008405688;8.22403;2076.7446
5;74.9;0.9057975;0.004479891;9.378752;2495.0608
6;76.1;0.8646438;0.003167993;9.750989;2894.461
7;75.7;0.83348954;0.0031005477;10.387591;3292.2646
8;78.8;0.8116116;0.0022711297;10.5452795;3733.973
9;78.8;0.79762274;0.002381715;10.78618;4129.7563
10;77.5;0.788216;0.0021404866;10.854379;4526.4956
