Epoch;Correctness;AvgError;MinError;MaxError
0;36;2.246998980942071;1.1100076684896671;3.620105324960113
1;55.2;1.8508648819197275;0.22673963945078757;4.880233294979755
2;62.8;1.4444757849249226;0.07498644888837008;7.146228911998635
3;63.3;1.2399620119025712;0.019214727506047535;7.76919334192328
4;69.6;1.1331521779940106;0.010075007495732823;8.393651279762066
5;68.9;1.0793089598851047;0.007796899384538968;8.92066006044803
6;71.3;1.0462484625774242;0.007740616398843302;9.147859035799797
7;68.9;1.0225630622342503;0.006802708584628685;9.291535335453089
8;73.6;1.0072885783018413;0.004817616385041751;9.297939480255378
9;70.3;0.9958583640852992;0.005137379575356451;9.359138511133011
10;74;0.9900327293560824;0.004294839682848946;9.481451579669786
11;71.5;0.9859378505887985;0.004430383195538911;9.496406702136786
12;70.9;0.9829846632664463;0.004352697635462519;9.602830730812336
13;70;0.9810653605784291;0.004331832498385334;9.629203310761932
14;69.6;0.9792207855545818;0.004196221579095915;9.61281289219241
15;72.9;0.9784460089504815;0.00432077224987903;9.662168523258764
16;70.6;0.9779704642409327;0.004269079864464797;9.67170756019393
17;73.6;0.9773182449260095;0.004284603431390056;9.663884905102535
18;73.6;0.9770102994867086;0.004286871889940299;9.66681673204013
19;72.7;0.9767673903139297;0.004167504468553903;9.65995237868255
